Time_Slot,Brand,Dry_Weight,Wet_Weight,Absorbed,Liquid_Type
1,S,1.82,20.17,18.35,water
2,S,1.8,18.96,17.16,water
3,B,2.45,31.86,29.41,water
4,V,2.92,33.69,30.77,water
5,V,2.95,30.7,27.75,water
6,S,1.82,20.71,18.89,water
7,S,1.84,21.15,19.31,water
8,V,3,31.88,28.88,water
9,B,2.46,30.14,27.68,water
10,V,2.97,31.47,28.5,water
11,V,2.93,31.77,28.84,water
12,B,2.42,32.48,30.06,water
13,B,2.46,30.44,27.98,water
14,B,2.46,32.22,29.76,water
15,S,1.82,20.97,19.15,water
16,B,2.47,30.37,27.9,water
17,S,1.82,20.15,18.33,water
18,V,2.93,31.08,28.15,water
1,S,1.81,19.87,18.06,soda
2,S,1.83,20.47,18.64,soda
3,B,2.46,30.85,28.39,soda
4,S,1.83,22.7,20.87,soda
5,B,2.47,33.28,30.81,soda
6,S,1.85,20.69,18.84,soda
7,V,2.96,31.55,28.59,soda
8,V,3,34.61,31.61,soda
9,V,2.96,32.85,29.89,soda
10,B,2.46,31.08,28.62,soda
11,V,3,33.67,30.67,soda
12,B,2.43,30.49,28.06,soda
13,S,1.84,21.47,19.63,soda
14,V,3,33.06,30.06,soda
15,B,2.46,33.57,31.11,soda
16,V,3,34.2,31.2,soda
17,S,1.81,20.73,18.92,soda
18,B,2.46,34.23,31.77,soda
